lr-AdamW,step,loss,loss_focal,loss_dice,loss_classification,acc,loss_iou,train_per_mask_iou,epoch
1e-05,49,,,,,,,,
,49,7.8321533203125,0.32516130805015564,0.949367880821228,0.0,0.0,0.3795592188835144,0.21076595783233643,3
2e-05,99,,,,,,,,
,99,2.928809642791748,0.07466693222522736,0.9988682270050049,0.0,0.0,0.43660271167755127,0.18033182621002197,7
3e-05,149,,,,,,,,
,149,1.5325193405151367,0.05088208615779877,0.5040944814682007,0.0,0.0,0.010783134028315544,0.15816454589366913,11
4e-05,199,,,,,,,,
,199,1.8562982082366943,0.049939751625061035,0.8039575815200806,0.0,0.0,0.05354565382003784,0.14276708662509918,15
5e-05,249,,,,,,,,
,249,1.5527548789978027,0.03325967863202095,0.8690062761306763,0.0,0.0,0.018555086106061935,0.12903431057929993,19
5e-05,299,,,,,,,,
,299,1.6718779802322388,0.057001084089279175,0.46817827224731445,0.0,0.0,0.06367799639701843,0.11465136706829071,23
5e-05,349,,,,,,,,
,349,1.1656790971755981,0.00887753814458847,0.9450350999832153,0.0,0.0,0.043093204498291016,0.10382166504859924,26
